"code","country","year","prev_sfi","prev_msfi","n_msfi","n_sfi","oecd_food_aid","oecd_tot_aid","cpi","food_exp_shr_merch","food_imp_shr_merch","food_prod","fdi_netin","gdp","gdp_grw","gdp_pc_grw","gdp_pc","infl","remmit_gdp","pop_growth","pop","log_gdp","log_gdp_pc","gov_score","e_pt_coup","subreg","reg","disast_affect","prec_z","net_dens","food_exp","food_imp","ad_sdg2_aid","ad_sdg2_proj","ad_tot_aid","ad_tot_proj","ad_exc2_aid","ad_exc2_proj","fight","oecd_dnr","social.infrastructure.and.services","health","production.sectors","agriculture..forestry..fishing","agriculture","forestry","fishing","industry..mining..construction","sector.allocable","food.security.policy.and.administrative.management","household.food.security.programmes","food.safety.and.quality","cntr.x","gdp_deflate_2015","gdp_deflate_2020","cntr.y","dod_totl_gd_zs_Central.government.debt..total....of.GDP.","prm_uner_zs_Children.out.of.school....of.primary.school.age.","xpd_chex_gd_zs_Current.health.expenditure....of.GDP.","clc_mdat_zs_Droughts..floods..extreme.temperatures....of.population..average.1990.2009.","exp_gnfs_zs_Exports.of.goods.and.services....of.GDP.","exp_gnfs_kd_zg_Exports.of.goods.and.services..annual...growth.","exp_gnfs_kd_Exports.of.goods.and.services..constant.2015.US..","exp_gnfs_kn_Exports.of.goods.and.services..constant.LCU.","hou_fema_zs_Female.headed.households....of.households.with.a.female.head.","klt_dinv_cd_Foreign.direct.investment..net..BoP..current.US..","gdp_mktp_kn_GDP..constant.LCU.","gdp_defl_zs_GDP.deflator..base.year.varies.by.country.","gdp_defl_zs_ad_GDP.deflator..linked.series..base.year.varies.by.country.","gdp_pcap_pp_kd_GDP.per.capita..PPP..constant.2021.international...","gdp_mktp_pp_kd_GDP..PPP..constant.2021.international...","pov_gini_Gini.index","hiv_incd_tl_p3_Incidence.of.HIV..all..per.1.000.uninfected.population.","mlr_incd_p3_Incidence.of.malaria..per.1.000.population.at.risk.","dst_frst_10_Income.share.held.by.lowest.10.","dst_04th_20_Income.share.held.by.fourth.20.","dst_10th_10_Income.share.held.by.highest.10.","dst_05th_20_Income.share.held.by.highest.20.","dst_frst_20_Income.share.held.by.lowest.20.","dst_03rd_20_Income.share.held.by.third.20.","dst_02nd_20_Income.share.held.by.second.20.","gdp_defl_kd_zg_Inflation..GDP.deflator..annual...","gdp_defl_kd_zg_ad_Inflation..GDP.deflator..linked.series..annual...","dyn_le00_ma_in_Life.expectancy.at.birth..male..years.","dyn_le00_in_Life.expectancy.at.birth..total..years.","dyn_le00_fe_in_Life.expectancy.at.birth..female..years.","dyn_imrt_in_Mortality.rate..infant..per.1.000.live.births.","dyn_mort_Mortality.rate..under.5..per.1.000.live.births.","oda_oatl_kd_Net.official.aid.received..constant.2021.US..","oda_alld_kd_Net.official.development.assistance.and.official.aid.received..constant.2021.US..","oda_odat_kd_Net.official.development.assistance.received..constant.2021.US..","pov_dday_Poverty.headcount.ratio.at..2.15.a.day..2017.PPP.....of.population.","pov_umic_Poverty.headcount.ratio.at..6.85.a.day..2017.PPP.....of.population.","pov_lmic_Poverty.headcount.ratio.at..3.65.a.day..2017.PPP.....of.population.","pov_nahc_Poverty.headcount.ratio.at.national.poverty.lines....of.population.","pov_sopo_Poverty.headcount.ratio.at.societal.poverty.line....of.population.","dst_50md_Proportion.of.people.living.below.50.percent.of.median.income....","gdp_totl_rt_zs_Total.natural.resources.rents....of.GDP.","Var.84","Data.from.database..World.Development.Indicators","Last.Updated..11.13.2024","ec_dwntrn","cntr","e_pt_coup_attempts","e_autoc","e_democ","e_p_polity","e_polcomp","e_polity2","e_regiongeo","e_regionpol","e_regionpol_6C","e_regionpol_7C","Number_of_Events.x","Area.x","Average.dietary.energy.supply.adequacy..percent...3.year.average.","Dietary.energy.supply.used.in.the.estimation.of.prevalence.of.undernourishment..kcal.cap.day.","Prevalence.of.undernourishment..percent...3.year.average.","Prevalence.of.severe.food.insecurity.in.the.male.adult.population..percent...3.year.average.","Prevalence.of.severe.food.insecurity.in.the.female.adult.population..percent...3.year.average.","Prevalence.of.moderate.or.severe.food.insecurity.in.the.male.adult.population..percent...3.year.average.","Prevalence.of.moderate.or.severe.food.insecurity.in.the.female.adult.population..percent...3.year.average.","Number.of.severely.food.insecure.male.adults..million...3.year.average.","Number.of.severely.food.insecure.female.adults..million...3.year.average.","Number.of.moderately.or.severely.food.insecure.male.adults..million...3.year.average.","Number.of.moderately.or.severely.food.insecure.female.adults..million...3.year.average.","Value.of.food.imports.in.total.merchandise.exports..percent...3.year.average.","Percentage.of.children.under.5.years.affected.by.wasting..percent.","Number.of.children.under.5.years.affected.by.wasting..million.","Percentage.of.children.under.5.years.of.age.who.are.stunted..modelled.estimates...percent.","Number.of.children.under.5.years.of.age.who.are.stunted..modeled.estimates...million.","Percentage.of.children.under.5.years.of.age.who.are.overweight..modelled.estimates...percent.","Number.of.children.under.5.years.of.age.who.are.overweight..modeled.estimates...million.","Area.y","Prevalence.of.unaffordability..PUA...percent","Number.of.people.unable.to.afford.a.healthy.diet..NUA...million","country.x","bd_best","bd_high","bd_low","Number_of_Events.y","Category","Total.Four.wheeled.Vehicles.in.Use.Rate.by.Network","Entity","Annual.precipitation","country.y","na_prev","change_msfi","change_sfi","change_abs_msfi","change_abs_sfi","ad_sdg2_aid_gdp","ad_exc2_aid_gdp","ad_sdg2_aid_lag","ad_exc2_aid_lag","ad_sdg2_aid_gdp_lag","ad_exc2_aid_gdp_lag","food_imp_gdp","food_exp_gdp","food_imp_net","food_imp_net_gdp"
"AFG","Afghanistan",2017,15.1,49.6,17.2,5.2,12734.635,3150628.84,145.610741438593,71.1590110962314,36.7934457407199,99.84,0.274796791572807,20084646751.4954,2.6470032027451,-0.253593781046973,563.488236495596,4.97595150553892,4.38709328246437,2.86649214750073,35.643418,23.7232215169254,6.33414645747772,-1.37303916215897,0,"Southern Asia","Asia",7.5076900778199,-0.516070636010711,0.07,723542,3035439000,328.921351915558,205,4143868217,2183,3228.75332972158,1978,1,"DAC",1918309.786,120849.456,221053.455,195526.788,194143.663,1383.125,NA,6366.189,2617890.942,NA,NA,NA,"Afghanistan",94.8324703031589,110.457895899583,"Afghanistan",NA,NA,12.62081718,NA,NA,NA,NA,NA,NA,-40273161.0002353,1353431600000,94.9778567679371,94.9778567679371,2956.7699250337,105389386367.805,NA,0.03,29.0292564406936,NA,NA,NA,NA,NA,NA,NA,2.40365618765746,2.40365618765746,60.105,63.016,66.099,51.5,67.9,NA,4248819824.21875,4248819824.21875,NA,NA,NA,NA,NA,NA,0.702981728943138,NA,NA,NA,1,"Afghanistan",0,2,1,-1,4,-1,14,8,6,7,1,"Afghanistan",107,2311,20.5,14.1,16.2,46.5,52.8,1.3,1.5,4.4,5,388,NA,NA,38.3,2.3,4.4,0.3,"Afghanistan",NA,NA,"Afghanistan",343,459,324,96,"Afghanistan",35.61,"Afghanistan",324.95364,"Afghanistan",0,-0.0997782705099778,-0.0202702702702702,-0.131578947368421,-0.04,1.63767556375403,16.075728737829,342.626136911108,3574.95207198903,1.75106620534614,18.2705785829067,0.151132307058076,3.60246315980702e-05,3034715458,15.1096282426478
"ALB","Albania",2017,10.5,39,1.1,0.3,2.117,163240.886,115.059269640307,9.6865893534874,14.8580988702112,103.88,7.85544826704409,12211675169.6845,3.80259872019053,3.89811226746693,4249.8200493985,1.98666133171199,10.0756529807473,-0.0919722937442495,2.873457,23.2256583121928,8.35463191970404,-0.074097265303135,0,"Southern Europe","Europe",9.95237295026594,-0.309518639981028,0.15,106210,466736000,22.4090651621243,44,685585798,906,634.904982601777,862,0,"DAC",117936.625,3519.253,10667.145,5190.76,3861.646,1329.114,NA,3723.781,157226.975,NA,NA,NA,"Albania",105.880870312261,110.434914958701,"Albania",76.3437383311961,0.767530024051666,6.57848787,NA,31.5697983098872,13.243457449411,3914839603.7966,485455296800,NA,-1128922245.43328,1452767583700,106.737340734897,106.737340734897,14228.5670700585,40885175647.429,33.1,0.03,NA,3.1,23.3,24.6,40.7,7.6,16.5,12,1.45073158124514,1.45073158124514,76.873,79.047,81.504,8.3,9.3,NA,185070007.324219,185070007.324219,0.4,25.5,3.6,23.4,20.2,11.7,1.34604237945034,NA,NA,NA,1,"Albania",0,0,9,9,9,9,3,1,1,1,2,"Albania",135,3378,4.3,9.3,11.7,35.6,42.5,0.1,0.1,0.4,0.5,25,1.6,NA,11.9,NA,16,NA,"Albania",24.3,0.7,NA,NA,NA,NA,NA,"Albania",121.67,"Albania",1175.3209,"Albania",0,-0.00515463917525781,-0.05,0,0,0.183505250923762,5.19916370014435,12.0881641811671,374.463278469852,0.10275272133642,3.18304089245254,0.038220472909292,8.69741444348818e-06,466629790,3.82117754948485
"ARG","Argentina",2017,8.6,25.9,11.3,3.8,33.064,152175.605,125.748874684101,59.8249233265025,4.17929787657057,105.91,1.78936504083807,598790850843.677,2.81850297775918,1.75764818265694,13595.0373551081,3.09878131232082,0.0745674778829443,1.03713389686514,44.044811,27.118178210223,9.51746010477211,-0.0159576356410982,0,"Latin America and the Caribbean","Americas",10.8547013141995,0.201391157703753,0.496048155049091,33539358,2806370000,78.9223670368073,84,2916448878,840,473.590262349208,756,0,"DAC",39521.235,1289.202,4301.193,1582.956,1368.555,163.328,51.073,1966.164,52835.532,NA,NA,NA,"Argentina",825.310738210731,4356.4191087013,"Argentina",NA,0.584219992160797,10.23174763,NA,11.3202833596733,2.61539095219052,68811257871.9443,146065832100,NA,-10361231244.2599,726389947800,1467.56277769074,1467.56277769074,28499.0342488969,1255234577175.19,41.4,0.11,0,1.8,23,30,46.7,5,15.3,10,26.0063792819079,26.0063792819079,73.526,76.833,80.085,9.8,11,NA,600000.023841858,600000.023841858,0.6,8.2,2.4,25.7,23,19.6,1.02056616793198,NA,NA,NA,1,"Argentina",0,0,9,9,9,9,18,2,2,2,3,"Argentina",132,3195,3,7.8,9.5,22.1,29.8,1.2,1.6,3.5,5,3,NA,NA,8.2,0.3,11.5,0.4,"Argentina",8.6,3.8,NA,NA,NA,NA,NA,NA,NA,"Argentina",822.97986,"Argentina",0,-0.348958333333333,-0.482758620689655,-0.36144578313253,-0.52,0.0131802893991463,0.07909109861681,32.3805420965467,393.894334329197,0.00556006969592862,0.0676356790189536,0.00468672825586082,5.60118077167414e-05,2772830642,0.463071644814407
"AZE","Azerbaijan",2017,NA,7.7,0.8,NA,NA,117201.023,149.508333333333,4.27292186648623,18.9889874269738,107.73,7.01669598350389,51533733835.093,0.199999938958655,-0.778416126232784,5229.7098898586,12.9359184187335,2.77334116720313,0.98126180450475,9.854033,24.6655024561044,8.5621110851301,-0.719576549530029,0,"Western Asia","Asia",1e-20,-1.68849418363467,0.23,0,0,8.64125651831871,26,2188451314,724,1576.48493494771,698,0,"DAC",100391.775,412.201,1801.554,129.146,129.146,NA,NA,443.227,109207.2,NA,NA,NA,"Azerbaijan",180.703738380863,249.48255592103,"Azerbaijan",NA,2.06896996498108,4.07,NA,48.547864732761,NA,NA,NA,NA,-303106351.9,29218880000,240.727228422171,240.727228422171,19675.9598908264,193887558070.879,NA,0.05,0,NA,NA,NA,NA,NA,NA,NA,16.1724003104411,16.1724003104411,68.953,72.248,75.467,20.6,23.2,NA,130570007.324219,130570007.324219,NA,NA,NA,NA,NA,NA,19.6746501247433,NA,NA,NA,1,"Azerbaijan",0,7,0,-7,2,-7,10,1,1,7,NA,"Azerbaijan",127,3087,NA,NA,NA,7.5,7.8,NA,NA,0.3,0.3,9,NA,NA,14.9,0.1,10.8,0.1,"Azerbaijan",0.7,0.1,NA,NA,NA,NA,NA,"Azerbaijan",69.97,"Azerbaijan",515.21295,"Azerbaijan",0,-0.305084745762712,NA,-0.333333333333333,NA,0.0167681552941042,3.05913198525927,8.67856086853058,1311.02001102752,0.0168742245861651,2.54909154157729,0,0,0,0
"BEN","Benin",2017,13.1,63.8,7.2,1.5,73934.812,362900.434,108.913431866169,33.5756201599971,52.3113311553297,104.57,1.58170495191393,12435945492.7429,5.67156195150444,2.60355652692061,1072.36203196965,0.0432648555103608,1.54134891059864,2.94632156118807,11.596779,23.2438569461117,6.977619001007,-0.412411242723465,0,"Sub-Saharan Africa","Africa",1e-20,-0.802232561620554,0.05,564163,2667466000,164.813434504467,203,815595219,1299,623.360423979851,1096,0,"DAC",181547.418,51117.882,44711.875,39471.922,38074.218,40.914,1356.79,5155.799,263314.348,NA,NA,NA,"Benin",100,103.479100482781,"Benin",NA,2.98762011528015,2.66813827,NA,27.2055947818832,7,3418361556.16799,2020975340000,NA,-168995331.699237,7352276451000,100.313178470008,100.313178470008,3157.97632935376,36622353578.7467,NA,0.25,420.503313894315,NA,NA,NA,NA,NA,NA,NA,-0.367897725119164,-0.367897725119164,58.505,59.856,61.199,60.5,93,NA,759820007.324219,759820007.324219,NA,NA,NA,NA,NA,NA,4.09835325309901,NA,NA,NA,1,"Benin",0,0,7,7,9,7,6,4,4,4,NA,"Benin",120,2642,9.7,12.8,13.4,63.4,64.3,0.4,0.4,2,2.1,68,NA,NA,32.5,0.6,1.8,NA,"Benin",78.4,9.4,NA,NA,NA,NA,NA,"Benin",4.14,"Benin",989.51276,"Benin",0,-0.16,-0.259615384615385,-0.2,-0.363636363636364,1.32529878488648,5.01256960593482,86.9331344013461,475.451300025427,0.738694142949653,4.04003712744473,0.21449643708688,4.53655092272013e-05,2666901837,21.4451071577653
"BGD","Bangladesh",2017,12.4,31.9,50.9,19.9,74309.06,2286427.88,161.226458913586,NA,NA,110.77,0.616341783807311,222803808194.798,6.59024999794057,5.26645511283064,1377.08356162655,5.70207015717239,4.59667740823785,1.24972406577957,161.793964,26.1295574372897,7.22772318071212,-0.746882057189942,0,"Southern Asia","Asia",15.9056478209416,1.32376068900429,2.88,0,0,197.676556994396,331,5475264861,2865,3381.92623617564,2534,0,"DAC",591736.943,101626.133,126052.491,104645.757,104223.886,272.073,149.798,18177.256,1919201.606,NA,NA,NA,"Bangladesh",78.216208822529,119.63742472873,"Bangladesh",NA,2.58336162567139,2.36720181,NA,12.8197468906003,-1.8432808163076,33937816839.0905,2.836526e+12,NA,-1683653528.90722,2.2126229e+13,105.047597582037,105.047597582037,6020.26481532517,974042508801.188,NA,0.01,1.91155626981395,NA,NA,NA,NA,NA,NA,NA,5.04759758203714,5.04759758203714,69.822,71.788,73.95,28.9,35.1,NA,4124680175.78125,4124680175.78125,NA,NA,NA,NA,NA,NA,0.710420009979719,NA,NA,NA,1,"Bangladesh",0,2,3,1,6,1,14,8,6,7,2,"Bangladesh",109,2494,14.4,10.9,13.9,31.3,32.4,6.1,8,17.4,18.5,21,NA,NA,32.5,4.8,2.2,0.3,"Bangladesh",65,105.5,"Bangladesh",1,1,1,1,"Bangladesh",2.63,"Bangladesh",2636.0166,"Bangladesh",0,0.00931677018633554,0.0676691729323309,0,0.0478468899521531,0.0887222523690289,1.51789426921231,151.79958630641,2570.6492541558,0.0726215408303865,1.22980908126095,0,0,0,0
"BIH","Bosnia and Herzegovina",2017,1.8,10.3,0.4,NA,22.368,278193.866,127.233455951952,9.09401445658852,16.9912328153768,94.61,2.77975919041996,17485647794.2627,3.24410095889466,4.47338640670523,5082.997253877,3.41758719469284,11.0053017836583,-1.18362667966933,3.440027,23.5846462553464,8.53365637719041,-0.307227114588022,0,"Southern Europe","Europe",1e-20,-0.093128321512269,0.17,596156,1803291000,36.0183232682616,54,718895275,1683,625.323282610265,1629,0,"DAC",118406.838,3930.933,11308.995,1793.361,1701.35,92.011,NA,6951.787,225537.719,NA,NA,NA,"Bosnia and Herzegovina",100,108.702562882766,"Bosnia and Herzegovina",44.9707410575055,8.81340980529785,8.82,NA,40.3244111739223,11.8210047418881,7044713216.73135,12423295400,NA,-408665669.373471,30835800000,103.135728601171,103.135728601171,15721.8416841862,54083559883.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77870702677497,1.77870702677497,74.849,76.935,78.958,5.5,6.4,NA,488220001.220703,488220001.220703,NA,NA,NA,NA,NA,NA,1.28162139967933,NA,NA,NA,1,"Bosnia and Herzegovina",0,-66,-66,-66,-66,NA,3,1,1,1,NA,"Bosnia and Herzegovina",131,3294,NA,2.1,1.4,11.2,9.3,NA,NA,0.2,0.1,26,NA,NA,8.4,NA,12.6,NA,"Bosnia and Herzegovina",6.1,0.2,NA,NA,NA,NA,NA,"Bosnia and Herzegovina",109.65,"Bosnia and Herzegovina",1199.5111,"Bosnia and Herzegovina",0,-0.0729166666666668,-0.2,-0.333333333333333,NA,0.205987926166966,3.57620884263403,18.0192287840763,660.476845678702,0.106394632768195,3.89978906921814,0.10312977941782,3.40940185353389e-05,1802694844,10.3095685399284
"BRA","Brazil",2017,0.7,15.6,32.3,1.4,NA,568470.02,155.668786230018,36.1004202021097,6.32149411569174,106.98,3.33825981744108,1766233131755.03,1.32286905404399,0.523296588574212,8470.94060378721,3.44637335032669,0.130785125423529,0.79226340042227,208.50496,28.1998702205839,9.04439683269492,-0.172717750072479,0,"Latin America and the Caribbean","Americas",11.5534914267169,-0.531394173747588,0.19,80092642,9697482000,464.905033058399,210,4913631589,2169,3316.10503714364,1959,0,"DAC",273850.614,7289.219,24855.276,20281.615,16382.017,2729.559,1170.039,3380.233,555785.013,NA,NA,NA,"Brazil",145.816789378239,189.496978107014,"Brazil",83.6692026509366,4.22335004806519,9.47124863,NA,12.5189678700669,4.90879337691099,246006394227.265,504908899100,NA,-47544978339.99,4029774689200,163.4205261562,163.4205261562,17401.3227717581,3628262108472.51,53.3,0.24,5.2192590619221,1,19.4,42,57.8,3.2,12.1,7.4,3.67138451275035,3.67138451275035,71.635,74.827,78.032,13.7,15.3,NA,314109985.351563,314109985.351563,5.3,27.1,11,NA,29.1,23.1,2.73375767842298,NA,NA,NA,1,"Brazil",0,0,8,8,9,8,18,2,2,2,1,"Brazil",132,3237,NA,NA,0.9,13.3,18,NA,0.8,10.4,14.8,4,NA,NA,6.8,1,9,1.3,"Brazil",27.4,56.2,"Brazil",3,6,3,6,"Brazil",43.3,"Brazil",1747.5599,"Brazil",0,-0.172932330827068,0,-0.1875,0.0666666666666667,0.0263218385330844,0.187750132047889,51.756681324293,3066.62479103224,0.00296910716383309,0.175921975730857,0.00549048810468414,4.53465856573619e-05,9617389358,0.544514151902677
"BWA","Botswana",2017,21.5,51.4,1.2,0.5,NA,81092.982,141.143033956383,1.75631284947871,12.537601456042,93.21,1.61796092921323,15102373014.4202,4.1143636634186,1.97194438915353,6287.83474936723,3.30828076768219,0.241888757952352,2.07922251369081,2.40184,23.4381177216929,8.74637205344679,0.485551923513412,0,"Sub-Saharan Africa","Africa",8.08641027532378,1.70052804346571,0.06,107503,681619000,4.66784902210673,11,126945443,326,106.344521042591,315,0,"DAC",68170.523,5685.987,3301.768,2290.899,707.256,1583.643,NA,941.455,80584.199,NA,NA,NA,"Botswana",89.3616216596857,102.187266537737,"Botswana",14.6807691758665,NA,6.62986994,NA,42.9200424885539,-5.45744865055397,6223210387.73868,84890714100,NA,-261440939.247637,171182900000,97.3501228802643,97.3501228802643,16376.9029238166,39334700518.5398,NA,4.14,1.83939546751354,NA,NA,NA,NA,NA,NA,NA,-2.64991927643297,-2.64991927643297,63.968,66.753,69.428,35.4,44.3,NA,112779998.779297,112779998.779297,NA,NA,NA,NA,NA,NA,0.880112468848718,NA,NA,NA,1,"Botswana",0,0,8,8,9,8,9,4,4,4,1,"Botswana",110,2550,20.9,19,24.1,47.5,55.2,0.1,0.2,0.4,0.4,9,NA,NA,22.9,0.1,10.3,NA,"Botswana",63.5,1.4,NA,NA,NA,NA,NA,"Botswana",15.43,"Botswana",630.75745,"Botswana",0,-0.105376344086021,-0.168478260869565,-0.0909090909090908,-0.25,0.0309080501299347,0.704157690589753,5.95069569335656,123.749003645984,0.0410235460928488,0.853114193132539,0.0451332382897158,7.11828531167605e-06,681511497,4.51261200044041
"CIV","Cote d'Ivoire",2017,7.5,35.7,8.6,1.8,1574.485,728591.843,112.451978676858,55.3419949882442,20.9293744697827,109.42,1.85673486381974,52739979047.0283,7.41076242584926,4.66846126110498,2122.50261940544,0.685881065304603,0.585852971887002,2.58625429610958,24.848016,24.6886396205834,7.66035115229802,-0.540787959098816,0,"Sub-Saharan Africa","Africa",5.41610040220442,-0.288284466371341,0.142194821455665,8059910,2132189000,40.7725865707858,139,1620429740,1098,1528.47034806615,959,0,"DAC",234818.152,15665.648,14431.845,12909.895,4967.823,NA,7942.072,1369.418,286061.138,NA,NA,NA,"Cote d'Ivoire",100,103.261878975731,"Cote d'Ivoire",NA,17.1400604248047,3.24693036,NA,25.4987866021143,17.5401816904859,14606742691.3464,8635677148800,NA,-298983969.657158,31180492564878,97.79078036229,97.79078036229,5977.68664642192,148533653433.278,NA,0.55,251.844533583687,NA,NA,NA,NA,NA,NA,NA,-1.04167724810101,-1.04167724810101,57.348,58.48,59.723,60,81.5,NA,922909973.144531,922909973.144531,NA,NA,NA,NA,NA,NA,3.38876801583982,NA,NA,NA,1,"Cote d'Ivoire",0,1,5,4,6,4,6,4,4,4,1,"Côte d'Ivoire",124,2778,11.9,7.4,7.6,35.7,35.6,0.5,0.5,2.5,2.4,11,NA,NA,24.8,1,2.5,0.1,"Côte d'Ivoire",53.5,14.3,NA,NA,NA,NA,NA,NA,NA,"Cote d'Ivoire",1266.9116,"Côte d'Ivoire",0,-0.0469208211143695,-0.209677419354839,-0.075,-0.2,0.0773086893614972,2.89812467825065,56.9618048629776,1049.72736381715,0.116008974596466,2.13788512100728,0.040428324745801,0.000152823534359257,2124129090,4.02755012114417
