"code","country","year","prev_sfi","prev_msfi","n_msfi","n_sfi","oecd_food_aid","oecd_tot_aid","cpi","food_exp_shr_merch","food_imp_shr_merch","food_prod","fdi_netin","gdp","gdp_grw","gdp_pc_grw","gdp_pc","infl","remmit_gdp","pop_growth","pop","log_gdp","log_gdp_pc","gov_score","e_pt_coup","subreg","reg","disast_affect","prec_z","net_dens","food_exp","food_imp","ad_sdg2_aid","ad_sdg2_proj","ad_tot_aid","ad_tot_proj","ad_exc2_aid","ad_exc2_proj","fight","oecd_dnr","social.infrastructure.and.services","health","production.sectors","agriculture..forestry..fishing","agriculture","forestry","fishing","industry..mining..construction","sector.allocable","food.security.policy.and.administrative.management","household.food.security.programmes","food.safety.and.quality","cntr.x","gdp_deflate_2015","gdp_deflate_2020","cntr.y","dod_totl_gd_zs_Central.government.debt..total....of.GDP.","prm_uner_zs_Children.out.of.school....of.primary.school.age.","xpd_chex_gd_zs_Current.health.expenditure....of.GDP.","clc_mdat_zs_Droughts..floods..extreme.temperatures....of.population..average.1990.2009.","exp_gnfs_zs_Exports.of.goods.and.services....of.GDP.","exp_gnfs_kd_zg_Exports.of.goods.and.services..annual...growth.","exp_gnfs_kd_Exports.of.goods.and.services..constant.2015.US..","exp_gnfs_kn_Exports.of.goods.and.services..constant.LCU.","hou_fema_zs_Female.headed.households....of.households.with.a.female.head.","klt_dinv_cd_Foreign.direct.investment..net..BoP..current.US..","gdp_mktp_kn_GDP..constant.LCU.","gdp_defl_zs_GDP.deflator..base.year.varies.by.country.","gdp_defl_zs_ad_GDP.deflator..linked.series..base.year.varies.by.country.","gdp_pcap_pp_kd_GDP.per.capita..PPP..constant.2021.international...","gdp_mktp_pp_kd_GDP..PPP..constant.2021.international...","pov_gini_Gini.index","hiv_incd_tl_p3_Incidence.of.HIV..all..per.1.000.uninfected.population.","mlr_incd_p3_Incidence.of.malaria..per.1.000.population.at.risk.","dst_frst_10_Income.share.held.by.lowest.10.","dst_04th_20_Income.share.held.by.fourth.20.","dst_10th_10_Income.share.held.by.highest.10.","dst_05th_20_Income.share.held.by.highest.20.","dst_frst_20_Income.share.held.by.lowest.20.","dst_03rd_20_Income.share.held.by.third.20.","dst_02nd_20_Income.share.held.by.second.20.","gdp_defl_kd_zg_Inflation..GDP.deflator..annual...","gdp_defl_kd_zg_ad_Inflation..GDP.deflator..linked.series..annual...","dyn_le00_ma_in_Life.expectancy.at.birth..male..years.","dyn_le00_in_Life.expectancy.at.birth..total..years.","dyn_le00_fe_in_Life.expectancy.at.birth..female..years.","dyn_imrt_in_Mortality.rate..infant..per.1.000.live.births.","dyn_mort_Mortality.rate..under.5..per.1.000.live.births.","oda_oatl_kd_Net.official.aid.received..constant.2021.US..","oda_alld_kd_Net.official.development.assistance.and.official.aid.received..constant.2021.US..","oda_odat_kd_Net.official.development.assistance.received..constant.2021.US..","pov_dday_Poverty.headcount.ratio.at..2.15.a.day..2017.PPP.....of.population.","pov_umic_Poverty.headcount.ratio.at..6.85.a.day..2017.PPP.....of.population.","pov_lmic_Poverty.headcount.ratio.at..3.65.a.day..2017.PPP.....of.population.","pov_nahc_Poverty.headcount.ratio.at.national.poverty.lines....of.population.","pov_sopo_Poverty.headcount.ratio.at.societal.poverty.line....of.population.","dst_50md_Proportion.of.people.living.below.50.percent.of.median.income....","gdp_totl_rt_zs_Total.natural.resources.rents....of.GDP.","Var.84","Data.from.database..World.Development.Indicators","Last.Updated..11.13.2024","ec_dwntrn","cntr","e_pt_coup_attempts","e_autoc","e_democ","e_p_polity","e_polcomp","e_polity2","e_regiongeo","e_regionpol","e_regionpol_6C","e_regionpol_7C","Number_of_Events.x","Area.x","Average.dietary.energy.supply.adequacy..percent...3.year.average.","Dietary.energy.supply.used.in.the.estimation.of.prevalence.of.undernourishment..kcal.cap.day.","Prevalence.of.undernourishment..percent...3.year.average.","Prevalence.of.severe.food.insecurity.in.the.male.adult.population..percent...3.year.average.","Prevalence.of.severe.food.insecurity.in.the.female.adult.population..percent...3.year.average.","Prevalence.of.moderate.or.severe.food.insecurity.in.the.male.adult.population..percent...3.year.average.","Prevalence.of.moderate.or.severe.food.insecurity.in.the.female.adult.population..percent...3.year.average.","Number.of.severely.food.insecure.male.adults..million...3.year.average.","Number.of.severely.food.insecure.female.adults..million...3.year.average.","Number.of.moderately.or.severely.food.insecure.male.adults..million...3.year.average.","Number.of.moderately.or.severely.food.insecure.female.adults..million...3.year.average.","Value.of.food.imports.in.total.merchandise.exports..percent...3.year.average.","Percentage.of.children.under.5.years.affected.by.wasting..percent.","Number.of.children.under.5.years.affected.by.wasting..million.","Percentage.of.children.under.5.years.of.age.who.are.stunted..modelled.estimates...percent.","Number.of.children.under.5.years.of.age.who.are.stunted..modeled.estimates...million.","Percentage.of.children.under.5.years.of.age.who.are.overweight..modelled.estimates...percent.","Number.of.children.under.5.years.of.age.who.are.overweight..modeled.estimates...million.","Area.y","Prevalence.of.unaffordability..PUA...percent","Number.of.people.unable.to.afford.a.healthy.diet..NUA...million","country.x","bd_best","bd_high","bd_low","Number_of_Events.y","Category","Total.Four.wheeled.Vehicles.in.Use.Rate.by.Network","Entity","Annual.precipitation","country.y","na_prev","change_msfi","change_sfi","change_abs_msfi","change_abs_sfi","ad_sdg2_aid_gdp","ad_exc2_aid_gdp","ad_sdg2_aid_lag","ad_exc2_aid_lag","ad_sdg2_aid_gdp_lag","ad_exc2_aid_gdp_lag","food_imp_gdp","food_exp_gdp","food_imp_net","food_imp_net_gdp"
"AFG","Afghanistan",2017,15.1,49.6,17.2,5.2,12734.635,3150628.84,145.610741438593,71.1590110962314,36.7934457407199,99.84,0.274796791572807,20084646751.4954,2.6470032027451,-0.253593781046973,563.488236495596,4.97595150553892,4.38709328246437,2.86649214750073,35.643418,23.7232215169254,6.33414645747772,-1.37303916215897,0,"Southern Asia","Asia",7.5076900778199,-0.516070636010711,0.07,723542,3035439000,328.921351915558,205,4143868217,2183,3228.75332972158,1978,1,"DAC",1918309.786,120849.456,221053.455,195526.788,194143.663,1383.125,NA,6366.189,2617890.942,NA,NA,NA,"Afghanistan",94.8324703031589,110.457895899583,"Afghanistan",NA,NA,12.62081718,NA,NA,NA,NA,NA,NA,-40273161.0002353,1353431600000,94.9778567679371,94.9778567679371,2956.7699250337,105389386367.805,NA,0.03,29.0292564406936,NA,NA,NA,NA,NA,NA,NA,2.40365618765746,2.40365618765746,60.105,63.016,66.099,51.5,67.9,NA,4248819824.21875,4248819824.21875,NA,NA,NA,NA,NA,NA,0.702981728943138,NA,NA,NA,1,"Afghanistan",0,2,1,-1,4,-1,14,8,6,7,1,"Afghanistan",107,2311,20.5,14.1,16.2,46.5,52.8,1.3,1.5,4.4,5,388,NA,NA,38.3,2.3,4.4,0.3,"Afghanistan",NA,NA,"Afghanistan",343,459,324,96,"Afghanistan",35.61,"Afghanistan",324.95364,"Afghanistan",0,-0.0997782705099778,-0.0202702702702702,-0.131578947368421,-0.04,1.63767556375403,16.075728737829,342.626136911108,3574.95207198903,1.75106620534614,18.2705785829067,0.151132307058076,3.60246315980702e-05,3034715458,15.1096282426478
"AGO","Angola",2017,NA,47.9438874249975,NA,NA,426.618,119372.255,271.019765885988,0.422552712726388,17.7351790914195,105.13,-10.0383767819736,88031782694.3787,-0.147149825449205,-3.63069503801748,2914.12713925236,29.8444799015679,0.00192453909233653,3.5509866361995,30.208628,25.2009637532011,7.97732561629491,-1.11507021188736,0,"Sub-Saharan Africa","Africa",14.1872465133283,-1.29784939790024,0.135408815562317,0,0,9.16490628741593,41,458693348,599,172.396939238865,558,0,"DAC",99958.825,28178.756,4075.673,3373.025,1674.929,NA,1698.096,664.886,109942.123,NA,NA,NA,"Angola",859.02869588617,2170.22881322863,"Angola",NA,NA,2.79383755,NA,29.0041020030504,24.543676750422,27366619110.9147,628628510400,NA,8749300466.08991,1.579733e+12,1282.64054748492,1282.64054748492,9049.96266717646,273386955626.621,NA,0.73,215.567320700563,NA,NA,NA,NA,NA,NA,NA,22.6144365241349,22.6144365241349,59.331,61.68,64.019,53.4,80.4,NA,247740005.493164,247740005.493164,NA,NA,NA,NA,NA,NA,25.9503299089307,NA,NA,NA,0,"Angola",0,4,2,-2,8,-2,7,4,4,4,2,"Angola",115,2451,14.9,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,38.7,2.1,3.4,0.2,"Angola",62.7,19,"Angola",1,1,1,1,NA,NA,"Angola",1058.1339,"Angola",1,-0.0150209164650091,NA,NA,NA,0.0104109061601466,0.195834883677613,7.12464594939759,291.969323183723,0.00808135633242545,0.331175493567404,0,0,0,0
"ALB","Albania",2017,10.5,39,1.1,0.3,2.117,163240.886,115.059269640307,9.6865893534874,14.8580988702112,103.88,7.85544826704409,12211675169.6845,3.80259872019053,3.89811226746693,4249.8200493985,1.98666133171199,10.0756529807473,-0.0919722937442495,2.873457,23.2256583121928,8.35463191970404,-0.074097265303135,0,"Southern Europe","Europe",9.95237295026594,-0.309518639981028,0.15,106210,466736000,22.4090651621243,44,685585798,906,634.904982601777,862,0,"DAC",117936.625,3519.253,10667.145,5190.76,3861.646,1329.114,NA,3723.781,157226.975,NA,NA,NA,"Albania",105.880870312261,110.434914958701,"Albania",76.3437383311961,0.767530024051666,6.57848787,NA,31.5697983098872,13.243457449411,3914839603.7966,485455296800,NA,-1128922245.43328,1452767583700,106.737340734897,106.737340734897,14228.5670700585,40885175647.429,33.1,0.03,NA,3.1,23.3,24.6,40.7,7.6,16.5,12,1.45073158124514,1.45073158124514,76.873,79.047,81.504,8.3,9.3,NA,185070007.324219,185070007.324219,0.4,25.5,3.6,23.4,20.2,11.7,1.34604237945034,NA,NA,NA,1,"Albania",0,0,9,9,9,9,3,1,1,1,2,"Albania",135,3378,4.3,9.3,11.7,35.6,42.5,0.1,0.1,0.4,0.5,25,1.6,NA,11.9,NA,16,NA,"Albania",24.3,0.7,NA,NA,NA,NA,NA,"Albania",121.67,"Albania",1175.3209,"Albania",0,-0.00515463917525781,-0.05,0,0,0.183505250923762,5.19916370014435,12.0881641811671,374.463278469852,0.10275272133642,3.18304089245254,0.038220472909292,8.69741444348818e-06,466629790,3.82117754948485
"ARG","Argentina",2017,8.6,25.9,11.3,3.8,33.064,152175.605,125.748874684101,59.8249233265025,4.17929787657057,105.91,1.78936504083807,598790850843.677,2.81850297775918,1.75764818265694,13595.0373551081,3.09878131232082,0.0745674778829443,1.03713389686514,44.044811,27.118178210223,9.51746010477211,-0.0159576356410982,0,"Latin America and the Caribbean","Americas",10.8547013141995,0.201391157703753,0.496048155049091,33539358,2806370000,78.9223670368073,84,2916448878,840,473.590262349208,756,0,"DAC",39521.235,1289.202,4301.193,1582.956,1368.555,163.328,51.073,1966.164,52835.532,NA,NA,NA,"Argentina",825.310738210731,4356.4191087013,"Argentina",NA,0.584219992160797,10.23174763,NA,11.3202833596733,2.61539095219052,68811257871.9443,146065832100,NA,-10361231244.2599,726389947800,1467.56277769074,1467.56277769074,28499.0342488969,1255234577175.19,41.4,0.11,0,1.8,23,30,46.7,5,15.3,10,26.0063792819079,26.0063792819079,73.526,76.833,80.085,9.8,11,NA,600000.023841858,600000.023841858,0.6,8.2,2.4,25.7,23,19.6,1.02056616793198,NA,NA,NA,1,"Argentina",0,0,9,9,9,9,18,2,2,2,3,"Argentina",132,3195,3,7.8,9.5,22.1,29.8,1.2,1.6,3.5,5,3,NA,NA,8.2,0.3,11.5,0.4,"Argentina",8.6,3.8,NA,NA,NA,NA,NA,NA,NA,"Argentina",822.97986,"Argentina",0,-0.348958333333333,-0.482758620689655,-0.36144578313253,-0.52,0.0131802893991463,0.07909109861681,32.3805420965467,393.894334329197,0.00556006969592862,0.0676356790189536,0.00468672825586082,5.60118077167414e-05,2772830642,0.463071644814407
"ARM","Armenia",2017,NA,20.2704127037636,NA,NA,NA,195779.879,124.207629297981,30.5178345871361,18.0111171291288,95.24,2.19257337687685,11367527508.1135,7.50000000164144,8.02439704883481,3985.91669835177,0.969553268816138,13.3477446383999,-0.486625263030829,2.851923,23.1540266635517,8.29052260199735,-0.285997694730759,0,"Western Asia","Asia",1e-20,-1.70752873818349,0.27,596547,709066000,62.5409585578442,48,634241198,1092,522.960469403286,1044,0,"DAC",95114.445,1926.275,37399.207,35043.51,35043.51,NA,NA,1878.92,185342.835,NA,NA,NA,"Armenia",107.037508479879,115.94779169987,"Armenia",NA,0.923959970474243,10.36,NA,38.2160456550464,19.2999999980046,4539611124.51916,2062641127600,NA,-223691166.786032,5075556763800,109.633160635444,109.633160635444,14880.5563397717,42438200878.1907,33.6,0.18,0,3.5,20.9,28.4,42.4,8.4,15.9,12.4,2.15064189848613,2.15064189848613,69.92,74.906,79.381,11.7,13.1,NA,288209991.455078,288209991.455078,0.8,48.7,8.1,NA,19,6.9,0.245815847777951,NA,NA,NA,1,"Armenia",0,0,5,5,7,5,10,1,1,7,NA,"Armenia",131,3133,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,9.7,NA,12.1,NA,"Armenia",49.3,1.4,NA,NA,NA,NA,NA,"Armenia",NA,"Armenia",735.6834,"Armenia",1,0.269365455044538,NA,NA,NA,0.550172045004563,4.60047683218736,67.5997232512633,584.823439746885,0.639274481142448,5.53053597001441,0.0623764490117933,5.24781663887964e-05,708469453,6.23239708454045
"AZE","Azerbaijan",2017,NA,7.7,0.8,NA,NA,117201.023,149.508333333333,4.27292186648623,18.9889874269738,107.73,7.01669598350389,51533733835.093,0.199999938958655,-0.778416126232784,5229.7098898586,12.9359184187335,2.77334116720313,0.98126180450475,9.854033,24.6655024561044,8.5621110851301,-0.719576549530029,0,"Western Asia","Asia",1e-20,-1.68849418363467,0.23,0,0,8.64125651831871,26,2188451314,724,1576.48493494771,698,0,"DAC",100391.775,412.201,1801.554,129.146,129.146,NA,NA,443.227,109207.2,NA,NA,NA,"Azerbaijan",180.703738380863,249.48255592103,"Azerbaijan",NA,2.06896996498108,4.07,NA,48.547864732761,NA,NA,NA,NA,-303106351.9,29218880000,240.727228422171,240.727228422171,19675.9598908264,193887558070.879,NA,0.05,0,NA,NA,NA,NA,NA,NA,NA,16.1724003104411,16.1724003104411,68.953,72.248,75.467,20.6,23.2,NA,130570007.324219,130570007.324219,NA,NA,NA,NA,NA,NA,19.6746501247433,NA,NA,NA,1,"Azerbaijan",0,7,0,-7,2,-7,10,1,1,7,NA,"Azerbaijan",127,3087,NA,NA,NA,7.5,7.8,NA,NA,0.3,0.3,9,NA,NA,14.9,0.1,10.8,0.1,"Azerbaijan",0.7,0.1,NA,NA,NA,NA,NA,"Azerbaijan",69.97,"Azerbaijan",515.21295,"Azerbaijan",0,-0.305084745762712,NA,-0.333333333333333,NA,0.0167681552941042,3.05913198525927,8.67856086853058,1311.02001102752,0.0168742245861651,2.54909154157729,0,0,0,0
"BEN","Benin",2017,13.1,63.8,7.2,1.5,73934.812,362900.434,108.913431866169,33.5756201599971,52.3113311553297,104.57,1.58170495191393,12435945492.7429,5.67156195150444,2.60355652692061,1072.36203196965,0.0432648555103608,1.54134891059864,2.94632156118807,11.596779,23.2438569461117,6.977619001007,-0.412411242723465,0,"Sub-Saharan Africa","Africa",1e-20,-0.802232561620554,0.05,564163,2667466000,164.813434504467,203,815595219,1299,623.360423979851,1096,0,"DAC",181547.418,51117.882,44711.875,39471.922,38074.218,40.914,1356.79,5155.799,263314.348,NA,NA,NA,"Benin",100,103.479100482781,"Benin",NA,2.98762011528015,2.66813827,NA,27.2055947818832,7,3418361556.16799,2020975340000,NA,-168995331.699237,7352276451000,100.313178470008,100.313178470008,3157.97632935376,36622353578.7467,NA,0.25,420.503313894315,NA,NA,NA,NA,NA,NA,NA,-0.367897725119164,-0.367897725119164,58.505,59.856,61.199,60.5,93,NA,759820007.324219,759820007.324219,NA,NA,NA,NA,NA,NA,4.09835325309901,NA,NA,NA,1,"Benin",0,0,7,7,9,7,6,4,4,4,NA,"Benin",120,2642,9.7,12.8,13.4,63.4,64.3,0.4,0.4,2,2.1,68,NA,NA,32.5,0.6,1.8,NA,"Benin",78.4,9.4,NA,NA,NA,NA,NA,"Benin",4.14,"Benin",989.51276,"Benin",0,-0.16,-0.259615384615385,-0.2,-0.363636363636364,1.32529878488648,5.01256960593482,86.9331344013461,475.451300025427,0.738694142949653,4.04003712744473,0.21449643708688,4.53655092272013e-05,2666901837,21.4451071577653
"BFA","Burkina Faso",2017,NA,58.1396973640147,NA,NA,33619.253,468382.76,109.831522699898,13.5208170856727,12.2199184238571,95.84,0.0182370342122821,13314855313.1302,6.20348941121868,3.20325683612816,671.251796273706,1.48299897161325,2.95484904374504,2.86565542084027,19.835858,23.3121461896967,6.50914432183246,-0.321533037722111,0,"Sub-Saharan Africa","Africa",6.78219205600679,-0.0627283230000637,0.06,736020,543486000,211.215022371394,437,1187504409,1966,843.879860223027,1529,1,"DAC",196354.044,37426.606,71435.087,68024.18,58637.933,9238.494,147.753,3388.462,369865.656,NA,NA,NA,"Burkina Faso",100,112.549537353455,"Burkina Faso",NA,26.2194194793701,6.02490044,NA,26.4523856350501,8.54510612049756,3440797093.29432,2034239492000,NA,7696130.29241783,7871898218300,104.057481090869,104.057481090869,2232.76964140723,44288901553.6648,NA,0.16,357.614175298089,NA,NA,NA,NA,NA,NA,NA,1.41629727998107,1.41629727998107,57.797,59.536,61.178,56.5,93.6,NA,1000460021.97266,1000460021.97266,NA,NA,NA,NA,NA,NA,12.3099089646115,NA,NA,NA,1,"Burkina Faso",0,1,7,6,8,6,6,4,4,4,1,"Burkina Faso",120,2618,13.9,NA,NA,NA,NA,NA,NA,NA,NA,15,8.6,0.3,25.8,0.9,2,0.1,"Burkina Faso",64.9,12.9,"Burkina Faso",36,38,8,22,"Burkina Faso",22.91,"Burkina Faso",600.13947,"Burkina Faso",1,-0.294675534438706,NA,NA,NA,1.58631105937072,6.337882315483,191.05620050192,927.29391500956,1.5239245706969,7.39638900819968,0.0408180177116946,5.52781072486899e-05,542749980,4.0762739604446
"BGD","Bangladesh",2017,12.4,31.9,50.9,19.9,74309.06,2286427.88,161.226458913586,NA,NA,110.77,0.616341783807311,222803808194.798,6.59024999794057,5.26645511283064,1377.08356162655,5.70207015717239,4.59667740823785,1.24972406577957,161.793964,26.1295574372897,7.22772318071212,-0.746882057189942,0,"Southern Asia","Asia",15.9056478209416,1.32376068900429,2.88,0,0,197.676556994396,331,5475264861,2865,3381.92623617564,2534,0,"DAC",591736.943,101626.133,126052.491,104645.757,104223.886,272.073,149.798,18177.256,1919201.606,NA,NA,NA,"Bangladesh",78.216208822529,119.63742472873,"Bangladesh",NA,2.58336162567139,2.36720181,NA,12.8197468906003,-1.8432808163076,33937816839.0905,2.836526e+12,NA,-1683653528.90722,2.2126229e+13,105.047597582037,105.047597582037,6020.26481532517,974042508801.188,NA,0.01,1.91155626981395,NA,NA,NA,NA,NA,NA,NA,5.04759758203714,5.04759758203714,69.822,71.788,73.95,28.9,35.1,NA,4124680175.78125,4124680175.78125,NA,NA,NA,NA,NA,NA,0.710420009979719,NA,NA,NA,1,"Bangladesh",0,2,3,1,6,1,14,8,6,7,2,"Bangladesh",109,2494,14.4,10.9,13.9,31.3,32.4,6.1,8,17.4,18.5,21,NA,NA,32.5,4.8,2.2,0.3,"Bangladesh",65,105.5,"Bangladesh",1,1,1,1,"Bangladesh",2.63,"Bangladesh",2636.0166,"Bangladesh",0,0.00931677018633554,0.0676691729323309,0,0.0478468899521531,0.0887222523690289,1.51789426921231,151.79958630641,2570.6492541558,0.0726215408303865,1.22980908126095,0,0,0,0
"BIH","Bosnia and Herzegovina",2017,1.8,10.3,0.4,NA,22.368,278193.866,127.233455951952,9.09401445658852,16.9912328153768,94.61,2.77975919041996,17485647794.2627,3.24410095889466,4.47338640670523,5082.997253877,3.41758719469284,11.0053017836583,-1.18362667966933,3.440027,23.5846462553464,8.53365637719041,-0.307227114588022,0,"Southern Europe","Europe",1e-20,-0.093128321512269,0.17,596156,1803291000,36.0183232682616,54,718895275,1683,625.323282610265,1629,0,"DAC",118406.838,3930.933,11308.995,1793.361,1701.35,92.011,NA,6951.787,225537.719,NA,NA,NA,"Bosnia and Herzegovina",100,108.702562882766,"Bosnia and Herzegovina",44.9707410575055,8.81340980529785,8.82,NA,40.3244111739223,11.8210047418881,7044713216.73135,12423295400,NA,-408665669.373471,30835800000,103.135728601171,103.135728601171,15721.8416841862,54083559883.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77870702677497,1.77870702677497,74.849,76.935,78.958,5.5,6.4,NA,488220001.220703,488220001.220703,NA,NA,NA,NA,NA,NA,1.28162139967933,NA,NA,NA,1,"Bosnia and Herzegovina",0,-66,-66,-66,-66,NA,3,1,1,1,NA,"Bosnia and Herzegovina",131,3294,NA,2.1,1.4,11.2,9.3,NA,NA,0.2,0.1,26,NA,NA,8.4,NA,12.6,NA,"Bosnia and Herzegovina",6.1,0.2,NA,NA,NA,NA,NA,"Bosnia and Herzegovina",109.65,"Bosnia and Herzegovina",1199.5111,"Bosnia and Herzegovina",0,-0.0729166666666668,-0.2,-0.333333333333333,NA,0.205987926166966,3.57620884263403,18.0192287840763,660.476845678702,0.106394632768195,3.89978906921814,0.10312977941782,3.40940185353389e-05,1802694844,10.3095685399284
