,measure,cgct_lm,cgct_nn,cgct_dr
0,run 1,0.14676804230947293,0.13074808447772046,0.18007956424864419
1,run 2,0.16894739612454598,0.17606087972223894,0.19224917836939995
2,run 3,0.1525591699185374,0.1716799192562824,0.30889632135907463
3,run 4,0.190134900838127,0.14046577771419425,0.22819879338357016
4,run 5,0.22767214740920488,0.14956041906442796,0.16070056112899492
5,run 6,0.20805359099933532,0.14715197531032542,0.3446876928672277
6,run 7,0.13867066580646795,0.14786537278361767,0.2078309037391242
7,run 8,0.22592060963339922,0.14393029587943632,0.16986847783750184
8,run 9,0.1387078832583383,0.1560658561820888,0.14835398718100312
9,run 10,0.17248765591805157,0.205259890604733,0.3250851761632292
10,mean,0.17699220622154804,0.15687884709950653,0.226595065627777
11,median,0.17071752602129878,0.14871289592402281,0.20004004105426207
12,sd,0.03436680937563864,0.02180135867557352,0.07287685394839971
