,measure,lm,nn,gps,dr,sci,cgct_gps,rf,cgct_rf,cf,cgct_cf
0,run 1,0.16156172729573084,0.1897052460126019,0.16987209720372817,0.20750238727435572,11.574319082809374,0.16235350945601518,0.16366217665167324,0.16283126540598272,0.20181006964767745,0.1671225872119853
1,run 2,0.16156172729573084,0.16811924272277895,0.16987209720372817,0.2937809923822508,8.266207228400258,0.16233411305353368,0.16366217665167324,0.16193906873010716,0.1984188675242009,0.16625892314145851
2,run 3,0.16156172729573084,0.531722434026455,0.16987209720372817,0.19442852665086655,2.7119133432002926,0.16227406871170527,0.16366217665167324,0.16185657645070162,0.20248576771679191,0.16621843557148935
3,run 4,0.16156172729573084,0.16589338821718252,0.16987209720372817,0.20136279513396815,10.979861131079915,0.1622869064860333,0.16366217665167324,0.16247887761851654,0.1967672817635826,0.1704901781059963
4,run 5,0.16156172729573084,0.16560782983360403,0.16987209720372817,0.20656502895585274,5.084059086328843,0.16245515686058942,0.16366217665167324,0.16448175888854327,0.19769193613357983,0.15730713531044688
5,run 6,0.16156172729573084,0.16197144462895866,0.16987209720372817,0.1783667727500611,0.934183850974065,0.16224111269295224,0.16366217665167324,0.16199027517283174,0.19758700946488858,0.17077300372129595
6,run 7,0.16156172729573084,0.5653187924677991,0.16987209720372817,0.24669205369392158,6.182652397648895,0.1637430226703156,0.16366217665167324,0.16199852202276901,0.19091444950111988,0.16073754266506476
7,run 8,0.16156172729573084,0.6099818064313774,0.16987209720372817,0.20407891512671664,0.2688273703334381,0.16176584856354473,0.16366217665167324,0.16429909563128275,0.19978904716503806,0.16529221596250784
8,run 9,0.16156172729573084,0.17164336304627634,0.16987209720372817,0.18468215336817945,4.28008349519086,0.16216772592285156,0.16366217665167324,0.16222741986477426,0.19758702823724614,0.1658143858012272
9,run 10,0.16156172729573084,0.183485819069791,0.16987209720372817,0.27976182083009515,2.511284961194356,0.16217319682513787,0.16366217665167324,0.16179469234736593,0.19537349523823425,0.16609084442458724
10,mean,0.16156172729573084,0.2913449366456825,0.16987209720372817,0.21972214461662679,5.279339194716029,0.1623794661242679,0.16366217665167324,0.1625897552132875,0.19784249523923597,0.16561052519160593
11,median,0.16156172729573084,0.17756459105803368,0.16987209720372817,0.2053219720412847,4.682071290759851,0.1622804875988693,0.16366217665167324,0.16211297094377164,0.197639482185413,0.1661546399980383
12,sd,0.0,0.19268141105585615,0.0,0.03985932907788747,3.9600242318526844,0.0005132111556048445,0.0,0.001000301757432177,0.003280006141338508,0.004036009199428062
